"","CNT","CNTSTUID","CNTSCHID","ST004D01T","ST001D01T","DISCLIM","ANXMAT","ICTRES","ESCS","PV1MATH","ST259Q01JA","ICTSCH","ICTHOME","ICTQUAL","W_FSTUWT","SCHSEL","SCHLTYPE","W_SCHGRNRABWT"
"1","CAN",12400001,12400376,1,10,0.4522,-0.508,2.251,1.4091,459.635,NA,NA,NA,NA,9.28422,1,3,1
"2","CAN",12400003,12400020,2,10,0.2139,-0.5006,0.0542,-0.5663,449.144,NA,NA,NA,NA,9.71615,1,3,7.91686
"3","CAN",12400004,12400906,2,9,0.1166,0.4252,-0.7461,0.4233,420.024,NA,NA,NA,NA,2.38075,1,3,1.01499
"4","CAN",12400005,12400726,2,9,-0.3382,-1.5486,-0.5513,0.9537,594.706,NA,NA,NA,NA,24.84381,1,3,2.73127
"5","CAN",12400006,12400103,2,10,0.7487,-2.3945,-0.5939,-0.4677,566.216,NA,NA,NA,NA,7.92761,3,3,1
"6","CAN",12400008,12400369,1,10,-0.673,0.7889,-1.1823,-0.3859,428.252,NA,NA,NA,NA,40.60635,2,3,3.41474
"7","CAN",12400009,12400344,2,10,NA,NA,-1.2462,0.1996,391.825,NA,NA,NA,NA,24.9659,NA,3,18.15702
"8","CAN",12400012,12400637,2,10,0.4426,-2.382,0.2442,-0.0061,552.261,NA,NA,NA,NA,35.90968,2,3,4.00625
"9","CAN",12400015,12400557,2,10,-0.322,-0.0394,0.8266,1.1156,559.491,NA,NA,NA,NA,16.23935,2,3,1.26327
"10","CAN",12400016,12400056,2,10,-0.3306,-0.4577,0.0325,0.2707,505.286,NA,NA,NA,NA,22.44081,3,1,3.59738
"11","CAN",12400018,12400081,2,9,-0.963,-0.9877,-0.1723,0.6837,594.874,NA,NA,NA,NA,5.11332,1,3,3.74906
"12","CAN",12400019,12400489,2,10,1.0761,-0.4577,1.474,1.518,530.248,NA,NA,NA,NA,27.85104,1,3,3.26043
"13","CAN",12400022,12400379,2,10,0.3658,1.0508,0.1573,0.16,461.147,NA,NA,NA,NA,2.8676,3,3,1.01209
"14","CAN",12400023,12400182,1,10,0.1085,0.429,1.0248,0.1396,391.451,NA,NA,NA,NA,3.10737,3,3,1
"15","CAN",12400025,12400814,2,10,-0.0691,0.3729,0.6419,1.4292,582.613,NA,NA,NA,NA,26.75832,1,3,2.6777
"16","CAN",12400026,12400436,2,10,NA,NA,0.4341,-0.8593,343.289,NA,NA,NA,NA,3.05532,3,3,1
