"","STU_ID","SCH_ID","BYSTUWT","STRAT_ID","PSU","G10COHRT","BYGRDRPT","BYMATHSE","BYSES1","BYRACE","BYSEX","BYTXCSTD","BYRISKFC","BYSTEXP","BYINCOME"
"1",101101,-5,178.9513,101,1,1,0,-1.118,-0.25,5,2,56.21,2,3,10
"2",101102,-5,28.2951,101,1,1,0,1.533,0.58,2,2,57.66,0,7,11
"3",101104,-5,589.7248,101,1,1,0,-0.154,-0.85,7,2,66.5,-9,-1,10
"4",101105,-5,235.7822,101,1,1,98,1.03,-0.8,3,2,46.46,-4,5,2
"5",101106,-5,178.9513,101,1,1,0,0.121,-1.41,4,2,36.17,2,5,6
"6",101107,-5,256.9656,101,1,1,0,-9,-1.07,4,1,30.72,1,4,9
"7",101108,-5,192.4304,101,1,1,98,-0.355,0.27,4,1,45.46,-9,-1,10
"8",101109,-5,620.1837,101,1,1,0,0.781,-0.16,7,1,68.39,1,6,10
"9",101110,-5,192.4304,101,1,1,0,0.571,-1,4,1,42.07,0,7,8
"10",101111,-5,256.9656,101,1,1,98,0.781,-1.22,3,1,43.17,-9,6,3
"11",101112,-5,30.2245,101,1,1,0,-1.09,-0.18,3,1,58.06,1,-1,8
"12",101113,-5,178.9513,101,1,1,0,-1.382,-0.03,4,2,45.19,1,6,8
"13",101114,-5,235.7822,101,1,1,1,-0.116,-0.8,3,2,40.36,3,6,5
"14",101115,-5,30.2245,101,1,1,0,0.121,-0.16,2,1,53.03,0,-1,8
"15",101116,-5,30.2245,101,1,1,98,1.296,0.99,2,1,70.04,-4,7,12
"16",101117,-5,256.9656,101,1,1,0,-9,0.22,3,1,31.93,2,-1,10
"17",101118,-5,235.7822,101,1,1,1,-1.106,0.06,3,2,33.08,3,5,8
"18",101119,-5,178.9513,101,1,1,98,-0.393,-1.35,4,2,57.17,-4,2,6
"19",101120,-5,620.1837,101,1,1,0,-0.63,-0.57,7,1,43.8,2,2,7
"20",101121,-5,28.2951,101,1,1,0,1.772,1.18,2,2,57.69,0,6,11
"21",101122,-5,192.4304,101,1,1,0,-0.63,-0.63,4,1,45.95,2,5,4
"22",101123,-5,192.4304,101,1,1,0,0.571,-0.69,4,1,46.84,4,2,5
"23",101124,-5,192.4304,101,1,1,1,0.848,-0.69,5,1,39.17,1,4,8
"24",101125,-5,178.9513,101,1,1,0,-9,-1.22,5,2,40.7,3,5,5
"25",101126,-5,28.2951,101,1,1,1,-9,-0.64,2,2,51.96,2,7,8
"26",101127,-5,28.2951,101,1,1,0,-0.116,-0.12,2,2,57.72,0,5,10
"27",101128,-5,30.2245,101,1,1,0,0.068,-1,2,1,43.62,-9,7,8
"28",101129,-5,620.1837,101,1,1,98,0.121,0.26,7,1,71.11,-9,-1,11
"29",101131,-5,620.1837,101,1,1,0,0.571,0.48,7,1,54.72,0,5,9
"30",101132,-5,192.4304,101,1,1,0,-0.63,-0.16,4,1,42.19,1,5,10
"31",101133,-5,192.4304,101,1,1,0,-9,-1.16,4,1,41.66,4,5,3
"32",101201,-5,180.3755,101,2,1,0,-9,-0.24,7,1,50.57,0,7,11
"33",101203,-5,180.3755,101,2,1,0,-9,0.05,7,1,56.21,1,5,8
"34",101207,-5,180.3755,101,2,1,0,-9,-0.34,7,1,51.31,0,5,8
"35",101209,-5,207.1635,101,2,1,0,-9,-0.77,3,1,44.29,2,5,8
"36",101210,-5,180.3755,101,2,1,0,-9,0.37,7,1,66.52,1,6,11
"37",101211,-5,171.2882,101,2,1,0,-9,0.19,7,2,58.65,0,5,9
"38",101212,-5,207.1635,101,2,1,0,-9,0.09,6,1,50.11,0,5,8
"39",101214,-5,194.4436,101,2,1,0,-9,-0.48,3,2,45.82,2,7,4
"40",101215,-5,194.4436,101,2,1,0,-9,-0.43,3,1,51.43,3,5,3
"41",101217,-5,171.2882,101,2,1,0,0.571,-0.64,7,2,36.06,2,7,6
"42",101219,-5,171.2882,101,2,1,0,-9,0.05,7,2,35.89,0,-1,9
"43",101221,-5,171.2882,101,2,1,0,-9,-0.93,7,2,58.41,0,-1,8
"44",101222,-5,0,101,2,1,0,-4,-4,-4,-4,38.25,-4,-4,9
