,School_ID,Student_ID,SES,SES.cat,Math.Self.Eff,Grade.Repeated,Gender,Edu.Exp,Immg,Family.support,Feel.Safe,Math.Anxiety,GRADE,Math.Score,Reading.Score,Science.Score
1,84000060,84000002,1.2582,High SES,-0.3183,0,Male,9,Native,0.0488,-0.756,0.051,0,556.4296667,621.7793333,626.4472222
2,84000055,84000003,0.3488,Mid SES,-0.2856,0,Male,4,Native,-0.5726,-2.7886,-0.4577,0,469.7528889,485.4057778,474.1276667
3,84000121,84000004,1.3463,High SES,0.2647,0,Male,8,Native,-0.0759,-0.756,-0.8811,0,679.281,677.3857778,690.1393333
4,84000013,84000005,-1.3108,Low SES,-1.2825,0,Female,4,Native,-0.3054,-0.756,2.5078,0,454.1245556,534.6693333,515.5021111
5,84000010,84000006,-0.9745,Low SES,-0.798,0,Female,9,Native,-0.896,1.1246,-0.5006,1,498.5507778,571.614,555.938
6,84000077,84000008,1.1127,High SES,-0.251,0,Female,9,2nd Gen,1.562,-0.756,0.1931,0,365.6128889,427.343,407.3096667
7,84000101,84000009,0.801,High SES,-3.4254,0,Male,9,Native,-2.8015,-1.7615,2.5026,0,337.8683333,360.028,342.212
8,84000046,84000011,0.7473,Mid SES,-0.7356,0,Female,9,1st Gen,-0.0084,-0.756,0.4252,0,459.6444444,547.3282222,502.7753333
9,84000077,84000014,1.1772,High SES,-0.2784,0,Female,8,Native,0.7546,-0.039,0.5653,1,499.609,482.7057778,465.0456667
10,84000011,84000015,0.8877,High SES,-0.4295,0,Male,7,Native,-0.1398,-0.756,0.905,0,532.9982222,560.1791111,543.9873333
11,84000023,84000016,0.1055,Mid SES,-0.2626,0,Male,4,Native,-0.147,-1.1042,0.7889,0,517.8984444,598.6595556,617.4694444
12,84000083,84000019,-0.5548,Low SES,0.8679,1,Female,4,Native,-0.9859,-1.7615,-0.1371,0,432.7825556,515.2285556,467.8132222
13,84000066,84000021,-0.2746,Mid SES,-3.3947,0,Female,6,Native,-0.3362,-0.756,1.2587,0,381.0041111,439.0302222,392.3875556
