STU_ID,BIPOC,FEMALE,X1TXMTSCOR,X1SES,X1MTHID,X1MTHUTI,X1MTHEFF
10002,0,1,47.6821,-.3699,-.57,1.31,.55
10003,1,1,64.2431,1.2741,-.57,.27,.68
10004,0,1,49.269,.5498,.6,-.7,.1
10014,1,1,32.4783,-.8837,-1.73, , 
10015,0,1,53.4016,.9973,.03, , 
10018,0,0,63.9808,1.3989,.6,.9,.1
10024,0,0,56.238,.1402,0, ,-.17
10028, ,0, , , , , 
10031,1,1, , , , , 
10043,0,1,46.9388,-.3642,-.57,-1.33,-.56
10048,0,1,48.3878,-.2888,.6,.9,.27
10050,0,1,31.7241,-1.1012,0,1.31,1.62
10055,1,0,69.24,1.4132,1.76,.11,1.62
10059, ,0, , , , , 
10061,1,0,64.4295,1.165,.6,-.7,.1
10068,0,1,50.2947,-.0872,.6,.27,.95
10071,0,1,48.5055,-.2749,-.57,-.7,-1.41
10075,0,1,49.573,-.231,0,-1.33,-.17
10079,1,1,61.4345,.0865,.03,-1.74,-.17
10080,1,1,38.6225,.2028,.03,.27,-.58
10085,0,0,45.2292,-.2902,-1.73,-.3,-.58
10092,0,0,27.9219,-.6288,-.57, , 
10097,1,1,53.6645,.9349,.6,.27,1.34
10100,0,1,42.3864,-.1266,-1.73,-1.74,-2.48
10101,0,1,31.5936,-.1066,-1.16,.9,.1
10105,0,1,63.0972,1.0498,.6,-.3,.55
10109,1,1,38.1072,.0876,0,-.3,-.61
10110,0,1,61.6932,.5598,1.16,1.31,1.62
10114,0,0,44.5891,-.8049,.6,1.31,.1
10117,0,1,60.5147,.2802,-.57, , 
10118,1,0,49.8312,.215,-1.73,1.31,.1
10121,1,0,34.2949,-.7549,.03,1.31,.1
10123,0,0, , , , , 
10126,0,0,33.7073,.3709,-1.73,-.93,-.69
10135,0,0,37.6012,.2157,-.57,-1.33,-.17
10136,0,1,39.2558,-.2589,-1.73,-.3,-.17
10145,1,0,47.3269,.0676,-.57, , 
10149,0,0,49.4672,.101,-1.13,-.7,.1
10154,0,0,58.7944,.2565,.63,.5,.82
10155,1,0,64.4815,-.9271,1.76,1.31,.95
10156,0,0,48.4579,1.9004,-.57,1.31,-.73
10162,1,0,54.2935,-.9416,1.76,1.31,.51
10163,1,0,68.3935,-.0505,.6,-.3,-.69
10164,1,0,50.4159,1.8024,.03,-.7,.1
10172,0,1,41.9635,-1.3184,0,-1.33,-.17
10173,0,1,65.4175,2.2775,.6,-1.1,.55
10184,0,0,49.3304,.0462,0,-.13,-.56
10187,1,1,50.4986,.7085,1.16,.9,1.62
10191,1,1,38.5661,-.281,-1.13,-.7,-2.09
10199,1,0,31.8621,.1172,-.6, , 
10201,0,1,36.179,-.29,-1.13,1.31,.51
10202, ,0, , , , , 
10206,0,1,67.1431,.6767,1.76,.9,1.21
10208,0,0,31.533,-.2391,.6,1.31,1.62
10215,1,0,51.5896,-.6203,-.6,-.47,-1.02
10216,0,0,53.9321,.1295,.6,-.3,1.62
10221,1,0,62.2458,.1782,.56,1.31,1.62
10224,0,0,55.9562,.5769,.6, , 
10228,0,1,41.1471,-.5007,.03,.9,1.23
10231,1,1, , , , , 
10238,0,0,72.7773,.6733,.6,.9,.1
10241,0,0,53.3296,.8973,-.57,-.3,-.29
10248,1,1,59.4755,-1.0134,1.76,-.76,-.83
10249,1,0,62.8043,.7983,.6,-.3,1.62
10250,0,0,62.2693,.1271,1.19,.34,.1
10252,1,1,65.3481,.6195,0,-1.9,.95
10270,1,0, , , , , 
10277,1,0, , , , , 
10278,1,0,46.8259,-.6849,-1.13,-.93,-.56
10281,0,1,42.3415,-1.1012,-.57,.34,-.56
10282,0,1,40.5817,.3877,.6,1.31,.1
10283,1,1,64.0675,.3474,1.19,1.31,1.62
10288,0,1,53.3906,-.7426, , , 
10298, ,0, , , , , 
10299,1,1,53.1339,-.452,1.19,.11,-.29
10301,0,0,37.461,.257,-.57,-.7,-.58
10303,1,0, , , , , 
10307,0,0,43.1947,-.56,-.57,-1.56,-1.68
10309,1,1,36.7248,-.056,-1.13,1.31,-1.14
10314,1,1,50.1368,-.755,0,-.3,-.17
10321,1,0, , , , , 
10324,0,1,51.8666,.7921,.6,-1.33,-.29
10326,1,1,75.0439,2.007,.03,.67,1.62
10327,1,0,35.4759,-.8061,-1.73,-.3,.1
10328,0,1,32.5395,2.5308,-1.73,-3.51,.12
10334,1,1,49.6469,.4939,-.57,-1.17,-.34
10338,0,0,59.2222,-.0176,.03,-1.33,-.61
10339,1,0,51.1632,-.3118,-1.73,-.47,.1
10340,0,0,53.9253,.4099,-.57,.27,-.56
10345,1,0,58.9486,1.6564,0, , 
10347,1,0,48.1629,-.2206,-.57,-1.27,-.56
10353,0,1,43.2347,-1.1012,.03,-.3,.1
10357,0,0,34.5885,.2551,-.53,-1.33,-1.41
10360,1,0, , , , , 
10364,0,1,62.869,-.1942,1.76,.5,.16
10377,1,0,42.744,-.601,.06,-.3,-.56
10379,0,1,50.0938,1.0802,.6,-.7,.1
10383,0,0,75.4732,1.0162,.6,.11,.9
10385,0,0,65.2668,1.1209,1.76,-.47,-.29
10390,0,0,61.931,1.5402,1.19,.9,.77
10394,0,0,65.3406,1.0698,.6,1.31,1.62
10395,0,1,40.7155,.0131,.6,-.3,.95
